Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
S Chanderpaul,,268.0,251.0,40.0,8778.0,150.0,41.6,12408.0,70.74,11.0,59.0,6.0,,,,,,,0.0,,,,,,,
S Dhawan,,167.0,164.0,10.0,6793.0,143.0,44.11,7436.0,91.35,17.0,39.0,5.0,,,,,,,0.0,,,,,,,
S Lamichhane,,,,,,,,,,0.0,0.0,0.0,,,76.0,74.0,4154.0,3033.0,154.0,,19.69,4.38,26.9,9.0,3.0,
S Matsikenyeri,,113.0,110.0,9.0,2224.0,90.0,22.01,3072.0,72.39,0.0,13.0,8.0,,,,,,,0.0,,,,,,,
SA Edwards,,73.0,67.0,10.0,2227.0,86.0,39.07,2570.0,86.65,0.0,22.0,4.0,,,,,,,0.0,,,,,,,
SB Styris,,188.0,161.0,23.0,4483.0,141.0,32.48,5645.0,79.41,4.0,28.0,9.0,,,188.0,161.0,6114.0,4839.0,137.0,,35.32,4.74,44.6,4.0,1.0,
SC Ganguly,,311.0,300.0,23.0,11363.0,183.0,41.02,15416.0,73.7,22.0,72.0,16.0,,,311.0,171.0,4561.0,3849.0,100.0,,38.49,5.06,45.6,1.0,2.0,
SC Williams,,164.0,159.0,20.0,5217.0,174.0,37.53,6000.0,86.95,8.0,37.0,9.0,,,164.0,133.0,5014.0,4097.0,86.0,,47.63,4.9,58.3,1.0,0.0,
SCJ Broad,,,,,,,,,,0.0,0.0,0.0,,,121.0,121.0,6109.0,5364.0,178.0,,30.13,5.26,34.3,9.0,1.0,
SD Hope,,155.0,149.0,23.0,6312.0,170.0,50.09,7905.0,79.84,19.0,32.0,6.0,,,,,,,0.0,,,,,,,
SE Bond,,,,,,,,,,0.0,0.0,0.0,,,82.0,80.0,4295.0,3070.0,147.0,,20.88,4.28,29.2,7.0,4.0,
SE Marsh,,73.0,72.0,4.0,2773.0,151.0,40.77,3406.0,81.41,7.0,15.0,3.0,,,,,,,0.0,,,,,,,
SJ Harmison,,,,,,,,,,0.0,0.0,0.0,,,58.0,57.0,2899.0,2481.0,76.0,,32.64,5.13,38.1,2.0,1.0,
SK Raina,,226.0,194.0,35.0,5615.0,,35.31,6005.0,93.5,5.0,36.0,14.0,,,,,,,0.0,,,,,,,
SK Warne,,,,,,,,,,0.0,0.0,0.0,,,194.0,191.0,10642.0,7541.0,293.0,,25.73,4.25,36.3,12.0,1.0,
SL Campbell,,90.0,87.0,0.0,2283.0,105.0,26.24,3853.0,59.25,2.0,14.0,9.0,,,,,,,0.0,,,,,,,
SL Malinga,,,,,,,,,,0.0,0.0,0.0,,,226.0,220.0,10936.0,9760.0,338.0,,28.87,5.35,32.3,11.0,8.0,
SM Gavaskar,,108.0,102.0,14.0,3092.0,,35.13,4966.0,62.26,1.0,27.0,8.0,,,,,,,0.0,,,,,,,
SM Pollock,,303.0,205.0,72.0,3519.0,130.0,26.45,4059.0,86.69,1.0,14.0,20.0,,,303.0,297.0,15712.0,9631.0,393.0,,24.5,3.67,39.9,12.0,5.0,
SM Sharif,,,,,,,,,,0.0,0.0,0.0,,,94.0,93.0,4270.0,3580.0,119.0,,30.08,5.03,35.8,3.0,2.0,
SN Netravalkar,,,,,,,,,,0.0,0.0,0.0,,,74.0,73.0,3817.0,2616.0,116.0,,22.55,4.11,32.9,3.0,2.0,
SO Tikolo,,135.0,130.0,12.0,3428.0,111.0,29.05,4524.0,75.77,3.0,24.0,13.0,,,135.0,99.0,4016.0,3215.0,94.0,,34.2,4.8,42.7,2.0,0.0,
SP Fleming,,280.0,269.0,21.0,8037.0,,32.4,11242.0,71.49,8.0,49.0,17.0,,,,,,,0.0,,,,,,,
SP Narine,,,,,,,,,,0.0,0.0,0.0,,,65.0,65.0,3540.0,2435.0,92.0,,26.46,4.12,38.4,4.0,2.0,
SP O'Donnell,,,,,,,,,,0.0,0.0,0.0,,,87.0,87.0,4350.0,3102.0,108.0,,28.72,4.27,40.2,5.0,1.0,
SPD Smith,,170.0,154.0,20.0,5800.0,164.0,43.28,6669.0,86.96,12.0,35.0,8.0,,,,,,,0.0,,,,,,,
SR Tendulkar,,463.0,452.0,41.0,18426.0,,44.83,21368.0,86.23,49.0,96.0,20.0,,,463.0,270.0,8054.0,6850.0,154.0,,44.48,5.1,52.2,4.0,2.0,
SR Watson,,190.0,169.0,27.0,5757.0,,40.54,6365.0,90.44,9.0,33.0,12.0,,,190.0,163.0,6466.0,5342.0,168.0,,31.79,4.95,38.4,3.0,0.0,
SR Waugh,,325.0,288.0,58.0,7569.0,,32.9,9971.0,75.91,3.0,45.0,15.0,,,325.0,207.0,8883.0,6761.0,195.0,,34.67,4.56,45.5,3.0,0.0,
SS Iyer,,82.0,76.0,7.0,3136.0,,45.44,3205.0,97.84,5.0,24.0,2.0,,,,,,,0.0,,,,,,,
ST Finn,,,,,,,,,,0.0,0.0,0.0,,,69.0,67.0,3550.0,2996.0,102.0,,29.37,5.06,34.8,4.0,2.0,
ST Jayasuriya,,445.0,433.0,18.0,13430.0,189.0,32.36,14725.0,91.2,28.0,68.0,34.0,,,445.0,368.0,14874.0,11871.0,323.0,,36.75,4.78,46.0,8.0,4.0,
SV Carlisle,,111.0,107.0,8.0,2740.0,,27.67,4325.0,63.35,3.0,9.0,11.0,,,,,,,0.0,,,,,,,
Saeed Ajmal,,,,,,,,,,0.0,0.0,0.0,,,113.0,112.0,6000.0,4182.0,184.0,,22.72,4.18,32.6,6.0,2.0,
Saeed Anwar,,247.0,244.0,19.0,8824.0,194.0,39.21,10938.0,80.67,20.0,43.0,15.0,,,,,,,0.0,,,,,,,
Saleem Malik,,283.0,256.0,38.0,7170.0,102.0,32.88,9383.0,76.41,5.0,47.0,19.0,,,283.0,120.0,3505.0,2959.0,89.0,,33.24,5.06,39.3,1.0,1.0,
Salman Butt,,78.0,78.0,4.0,2725.0,136.0,36.82,3572.0,76.28,8.0,14.0,15.0,,,,,,,0.0,,,,,,,
Saqlain Mushtaq,,,,,,,,,,0.0,0.0,0.0,,,169.0,165.0,8770.0,6275.0,288.0,,21.78,4.29,30.4,11.0,6.0,
Sarfaraz Ahmed,,117.0,91.0,22.0,2315.0,105.0,33.55,2635.0,87.85,2.0,11.0,1.0,,,,,,,0.0,,,,,,,
Shadab Khan,,,,,,,,,,0.0,0.0,0.0,,,73.0,70.0,3544.0,3098.0,87.0,,35.6,5.24,40.7,5.0,0.0,
Shaheen Shah Afridi,,,,,,,,,,0.0,0.0,0.0,,,77.0,76.0,3859.0,3578.0,146.0,,24.5,5.56,26.4,8.0,3.0,
Shahid Afridi,,398.0,369.0,27.0,8064.0,124.0,23.57,6892.0,117.0,6.0,39.0,30.0,,,398.0,372.0,17670.0,13632.0,395.0,,34.51,4.62,44.7,4.0,9.0,
Shahriar Nafees,,75.0,75.0,5.0,2201.0,,31.44,3167.0,69.49,4.0,13.0,11.0,,,,,,,0.0,,,,,,,
Shakib Al Hasan,,247.0,234.0,31.0,7570.0,,37.29,9138.0,82.84,9.0,56.0,12.0,,,247.0,241.0,12575.0,9360.0,317.0,,29.52,4.46,39.6,10.0,4.0,
Shoaib Akhtar,,,,,,,,,,0.0,0.0,0.0,,,163.0,162.0,7764.0,6169.0,247.0,,24.97,4.76,31.4,6.0,4.0,
Shoaib Malik,,287.0,258.0,40.0,7534.0,143.0,34.55,9199.0,81.9,9.0,44.0,15.0,,,287.0,217.0,7958.0,6192.0,158.0,,39.18,4.66,50.3,1.0,0.0,
Shubman Gill,,67.0,66.0,10.0,3379.0,208.0,60.33,3347.0,100.95,9.0,20.0,1.0,,,,,,,0.0,,,,,,,
Sikandar Raza,,156.0,147.0,23.0,4521.0,141.0,36.45,5276.0,85.68,7.0,24.0,3.0,,,156.0,124.0,5168.0,4182.0,95.0,,44.02,4.85,54.4,1.0,0.0,
Sir RJ Hadlee,,,,,,,,,,0.0,0.0,0.0,,,115.0,112.0,6182.0,3407.0,158.0,,21.56,3.3,39.1,1.0,5.0,
Sompal Kami,,,,,,,,,,0.0,0.0,0.0,,,74.0,73.0,3263.0,2885.0,98.0,,29.43,5.3,33.2,2.0,1.0,
Soumya Sarkar,,86.0,81.0,4.0,2488.0,169.0,32.31,2653.0,93.78,3.0,15.0,9.0,,,,,,,0.0,,,,,,,
T Taibu,,150.0,137.0,21.0,3393.0,,29.25,5020.0,67.58,2.0,22.0,16.0,,,,,,,0.0,,,,,,,
TA Boult,,,,,,,,,,0.0,0.0,0.0,,,114.0,113.0,6180.0,5146.0,211.0,,24.38,4.99,29.2,10.0,6.0,
TG Southee,,,,,,,,,,0.0,0.0,0.0,,,161.0,159.0,8075.0,7448.0,221.0,,33.7,5.53,36.5,5.0,3.0,
TL Chatara,,,,,,,,,,0.0,0.0,0.0,,,87.0,87.0,4254.0,3752.0,115.0,,32.62,5.29,36.9,1.0,0.0,
TM Alderman,,,,,,,,,,0.0,0.0,0.0,,,65.0,65.0,3371.0,2056.0,88.0,,23.36,3.65,38.3,1.0,2.0,
TM Dilshan,,330.0,303.0,41.0,10290.0,,39.27,11933.0,86.23,22.0,47.0,11.0,,,330.0,204.0,5880.0,4778.0,106.0,,45.07,4.87,55.4,3.0,0.0,
TM Head,,79.0,76.0,7.0,3007.0,,43.57,2844.0,105.73,7.0,17.0,3.0,,,,,,,0.0,,,,,,,
TM Odoyo,,136.0,119.0,16.0,2420.0,,23.49,3438.0,70.38,1.0,8.0,13.0,,,136.0,129.0,5649.0,4335.0,145.0,,29.89,4.6,38.9,5.0,0.0,
TT Bresnan,,,,,,,,,,0.0,0.0,0.0,,,85.0,84.0,4221.0,3813.0,109.0,,34.98,5.42,38.7,3.0,1.0,
TWM Latham,,171.0,158.0,21.0,4664.0,,34.04,5519.0,84.5,8.0,27.0,14.0,,,,,,,0.0,,,,,,,
Tamim Iqbal,,243.0,240.0,12.0,8357.0,158.0,36.65,10642.0,78.52,14.0,56.0,19.0,,,,,,,0.0,,,,,,,
Taskin Ahmed,,,,,,,,,,0.0,0.0,0.0,,,94.0,92.0,4455.0,3968.0,137.0,,28.96,5.34,32.5,7.0,2.0,
UDU Chandana,,,,,,,,,,0.0,0.0,0.0,,,147.0,136.0,6142.0,4818.0,151.0,,31.9,4.7,40.6,4.0,1.0,
UT Yadav,,,,,,,,,,0.0,0.0,0.0,,,75.0,73.0,3558.0,3565.0,106.0,,33.63,6.01,33.5,4.0,0.0,
Umar Akmal,,121.0,110.0,17.0,3194.0,,34.34,3712.0,86.04,2.0,20.0,8.0,,,,,,,0.0,,,,,,,
Umar Gul,,,,,,,,,,0.0,0.0,0.0,,,130.0,128.0,6064.0,5253.0,179.0,,29.34,5.19,33.8,4.0,2.0,
V Kohli,,314.0,302.0,47.0,14941.0,183.0,58.59,15903.0,93.95,54.0,79.0,18.0,,,,,,,0.0,,,,,,,
V Sehwag,,251.0,245.0,9.0,8273.0,219.0,35.05,7929.0,104.33,15.0,38.0,14.0,,,251.0,146.0,4392.0,3853.0,96.0,,40.13,5.26,45.7,1.0,0.0,
V Sibanda,,127.0,126.0,4.0,2994.0,116.0,24.54,4716.0,63.48,2.0,21.0,14.0,,,,,,,0.0,,,,,,,
VG Kambli,,104.0,97.0,21.0,2477.0,106.0,32.59,3443.0,71.94,2.0,14.0,4.0,,,,,,,0.0,,,,,,,
VVS Laxman,,86.0,83.0,7.0,2338.0,131.0,30.76,3282.0,71.23,6.0,10.0,3.0,,,,,,,0.0,,,,,,,
WB Rankin,,,,,,,,,,0.0,0.0,0.0,,,75.0,73.0,3702.0,2955.0,106.0,,27.87,4.78,34.9,4.0,0.0,
WD Parnell,,,,,,,,,,0.0,0.0,0.0,,,73.0,69.0,3224.0,3010.0,99.0,,30.4,5.6,32.5,3.0,2.0,
WJ Cronje,,188.0,175.0,31.0,5565.0,112.0,38.64,7277.0,76.47,2.0,39.0,8.0,,,188.0,153.0,5357.0,3966.0,114.0,,34.78,4.44,46.9,1.0,1.0,
WKM Benjamin,,,,,,,,,,0.0,0.0,0.0,,,85.0,85.0,4442.0,3079.0,100.0,,30.79,4.15,44.4,0.0,1.0,
WPUJC Vaas,,,,,,,,,,0.0,0.0,0.0,,,322.0,320.0,15775.0,11014.0,400.0,,27.53,4.18,39.4,9.0,4.0,
WTS Porterfield,,148.0,145.0,3.0,4343.0,139.0,30.58,6298.0,68.95,11.0,20.0,12.0,,,,,,,0.0,,,,,,,
WU Tharanga,,235.0,223.0,17.0,6951.0,,33.74,9155.0,75.92,15.0,37.0,17.0,,,,,,,0.0,,,,,,,
WW Hinds,,119.0,111.0,10.0,2880.0,,28.51,4393.0,65.55,5.0,14.0,8.0,,,,,,,0.0,,,,,,,
Wahab Riaz,,,,,,,,,,0.0,0.0,0.0,,,91.0,90.0,4327.0,4117.0,120.0,,34.3,5.7,36.0,5.0,1.0,
Waqar Younis,,,,,,,,,,0.0,0.0,0.0,,,262.0,258.0,12698.0,9919.0,416.0,,23.84,4.68,30.5,14.0,13.0,
Wasim Akram,,356.0,280.0,55.0,3717.0,86.0,16.52,4208.0,88.33,0.0,6.0,28.0,,,356.0,351.0,18186.0,11812.0,502.0,,23.52,3.89,36.2,17.0,6.0,
YS Chahal,,,,,,,,,,0.0,0.0,0.0,,,72.0,69.0,3739.0,3283.0,121.0,,27.13,5.26,30.9,5.0,2.0,
Younis Khan,,265.0,255.0,23.0,7249.0,144.0,31.24,9628.0,75.29,7.0,48.0,22.0,,,,,,,0.0,,,,,,,
Yuvraj Singh,,304.0,278.0,40.0,8701.0,150.0,36.55,9924.0,87.67,14.0,52.0,18.0,,,304.0,161.0,5048.0,4294.0,111.0,,38.68,5.1,45.4,2.0,1.0,
Z Khan,,,,,,,,,,0.0,0.0,0.0,,,200.0,197.0,10097.0,8301.0,282.0,,29.43,4.93,35.8,7.0,1.0,
Zaheer Abbas,,62.0,60.0,6.0,2572.0,123.0,47.62,3033.0,84.8,7.0,13.0,2.0,,,,,,,0.0,,,,,,,
Zahoor Khan,,,,,,,,,,0.0,0.0,0.0,,,62.0,62.0,2880.0,2405.0,93.0,,25.86,5.01,30.9,2.0,1.0,
