Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
CD McMillan,,197.0,183.0,16.0,4707.0,117.0,28.18,6198.0,75.94,3.0,28.0,9.0,,,,,,,0.0,,,,,,,
CEL Ambrose,,,,,,,,,,0.0,0.0,0.0,,,176.0,175.0,9353.0,5429.0,225.0,,24.12,3.48,41.5,6.0,4.0,
CG Greenidge,,128.0,127.0,13.0,5134.0,,45.03,7908.0,64.92,11.0,31.0,3.0,,,,,,,0.0,,,,,,,
CG Rackemann,,,,,,,,,,0.0,0.0,0.0,,,52.0,52.0,2791.0,1833.0,82.0,,22.35,3.94,34.0,3.0,1.0,
CH Gayle,,301.0,294.0,17.0,10480.0,215.0,37.83,12019.0,87.19,25.0,54.0,25.0,,,301.0,199.0,7424.0,5926.0,167.0,,35.48,4.78,44.4,3.0,1.0,
CJ Chibhabha,,109.0,109.0,2.0,2474.0,99.0,23.12,3913.0,63.22,0.0,16.0,8.0,,,,,,,0.0,,,,,,,
CJ McDermott,,,,,,,,,,0.0,0.0,0.0,,,138.0,138.0,7461.0,5018.0,203.0,,24.71,4.03,36.7,4.0,1.0,
CJ McKay,,,,,,,,,,0.0,0.0,0.0,,,59.0,59.0,2965.0,2364.0,97.0,,24.37,4.78,30.5,4.0,2.0,
CK Langeveldt,,,,,,,,,,0.0,0.0,0.0,,,72.0,71.0,3489.0,2962.0,100.0,,29.62,5.09,34.8,1.0,2.0,
CL Cairns,,215.0,193.0,25.0,4950.0,115.0,29.46,5874.0,84.26,4.0,26.0,9.0,,,215.0,186.0,8168.0,6594.0,201.0,,32.8,4.84,40.6,3.0,1.0,
CL Hooper,,227.0,206.0,43.0,5761.0,,35.34,7517.0,76.63,7.0,29.0,7.0,,,227.0,203.0,9573.0,6958.0,193.0,,36.05,4.36,49.6,3.0,0.0,
CR Ervine,,131.0,127.0,15.0,3614.0,,32.26,4737.0,76.29,4.0,23.0,12.0,,,,,,,0.0,,,,,,,
CR Matthews,,,,,,,,,,0.0,0.0,0.0,,,56.0,55.0,3003.0,1975.0,79.0,,25.0,3.94,38.0,3.0,0.0,
CR Woakes,,,,,,,,,,0.0,0.0,0.0,,,122.0,118.0,5737.0,5193.0,173.0,,30.01,5.43,33.1,11.0,3.0,
